# === GENERAL ===
Super + Space	Launch rofi menu
Super + Return	Launch terminal
Super + V	Launch clipboard history
Super + R 	Launch run menu
Super + E	Launch file manager
Super + F	Toggle floating window
Super + Z	Zoom
Super + Q	Kill focused window
Super + G	Toggle game mode
F11		Toggle fullscreen
Super + BackSpace	Launch power menu
Super + Shift + R	Restart waybar

# === WINDOW ===
Super + Right	Move focus to the right
Super + Left	Move focus to the left
Super + Shift + Right	Move focused window to the right
Super + Shift + Left	Move focused window to the left
Super + Ctrl + Right	Resize focused window to the right
Super + Ctrl + Left	Resize focused window to the left

# === WORKSPACE NAVIGATION ===
Super + [1,2,3,..]	Switch to workspace
Super + Shift + [1,2,3,..]	Move focused window to workspace
Control + Shift + Ctrl + Right	Move to the next workspace
Control + Shift + Ctrl + Left	Move to the prev workspace
