# === General ===
Super + Space                       | Launch app menu
Super + Return                      | Launch terminal
Super + W                           | Launch web browser
Super + V                           | Launch clipboard history
Super + R                           | Launch run menu
Super + Period                      | Launch emoji picker
Super + E                           | Launch file manager
Super + Shift + W                   | Launch wallpaper switcher
Super + L or Copilot Key            | Switch layout
Super + Comma                       | Toggle animation
Super + C                           | Toggle gaps
Super + G                           | Toggle game mode
Super + Z                           | Zoom in
Super + Shift + Z                   | Reset zoom
Super + M                           | Launch notes manager
Super + N                           | Launch wifi menu
Super + BackSpace or Super + Esc    | Launch power menu
Super + Shift + R                   | Restart waybar

# === Screenshot ===
Print                               | Full screenshot
Super + Print                       | Area selection screenshot
Super + Shift + Print               | Window screenshot

# === Window ===
Super + Q                           | Kill focused window
Super + J                           | Toggle split horizontal/vertical
Super + F                           | Toggle floating window
Super + P                           | Toggle pin window
Super + SHIFT + P                   | Toggle pseudotiling
Super + Right                       | Move focus to the right
Super + Left                        | Move focus to the left
Super + Tab                         | Cycle focus next
Super + Shift + Tab                 | Cycle focus previous
Super + Shift + Right               | Move focused window to the right
Super + Shift + Left                | Move focused window to the left
Super + Ctrl + Right                | Resize focused window to the right
Super + Ctrl + Left                 | Resize focused window to the left
F11 or Alt + Return                 | Toggle fullscreen

# === Workspace ===
Super + [1,2,3,..]                  | Switch to workspace
Super + Shift + [1,2,3,..]          | Move focused window to workspace
Super + Ctrl + Shift + Ctrl + Right | Move to the next workspace
Super + Ctrl + Shift + Ctrl + Left  | Move to the previous workspace
Super + S                           | Open scratchpad
Super + Shift + S                   | Move window focused to scratchpad
